========================

TOP 50 PUT OI IMBALANCE
('SLB', 0.27420388972002563)
('TDOC', 0.2770254762451228)
('FANG', 0.2783808460992188)
('GILD', 0.2835171966255678)
('OXY', 0.2884664248920099)
('QCOM', 0.28861819566044916)
('DKNG', 0.3091705865798255)
('DIS', 0.31377091835825416)
('EXPE', 0.3168586387434555)
('DHI', 0.3209920920201294)
('PARA', 0.32527628772700834)
('MCD', 0.32803650094398995)
('ACN', 0.34144758195391106)
('CVS', 0.34678464929340075)
('RBLX', 0.3654710979488867)
('HOOD', 0.37831258259720385)
('COST', 0.3798276412384296)
('SBUX', 0.3812808654072274)
('DXCM', 0.3946830265848671)
('TGT', 0.4020261605539882)
('NRG', 0.4123573682932751)
('F', 0.4207469227704502)
('T', 0.44076958183581494)
('SQ', 0.4459208458351193)
('ZM', 0.47357440890125174)
('WBA', 0.5074987905176584)
('TXN', 0.540614601683304)
('MA', 0.546280193236715)
('MRO', 0.620222728423184)
('EBAY', 0.6648630368616841)
('CSCO', 0.6731932047221423)
('MOS', 0.6855872351556369)
('ETSY', 0.7289111854329245)
('DVN', 0.7301859799713877)
('ROKU', 0.7399271442764102)
('VZ', 0.8075916230366492)
('PEP', 0.8384693104319273)
('ABT', 0.9418994413407821)
('FIS', 0.957506420733131)
('LUV', 0.96)
('CNC', 1.0314207650273224)
('AMZN', 1.0947312813660446)
('IBM', 1.1324488419158985)
('VLO', 1.2466947960618846)
('DISH', 1.252204585537919)
('CVX', 1.2928603104212861)
('XOM', 1.3272589217919515)
('TJX', 1.3920454545454546)
('NEE', 1.4530087897227857)
('COIN', 1.4762692862100262)
('CAT', 1.4803418803418804)
('MRK', 1.4812166747455162)
('LLY', 1.6193467336683418)
('KMI', 1.6334586466165413)
('EXC', 1.6369863013698631)
('GOOG', 1.6648653189225513)
('GOOGL', 1.7674221028219788)
('UNP', 1.8091465610370905)
('HD', 1.9679822795006041)
('VFC', 2.0386988222097586)
('KO', 2.123525382449197)
('IP', 2.145985401459854)
('APA', 2.1989860583016476)
('HAS', 2.354964539007092)
('COP', 2.4210357027983274)
('PYPL', 2.604481456043956)
('HAL', 2.860921843687375)
('BMY', 3.353066666666667)
('INTC', 3.4792034796792173)
('FE', 3.5594713656387666)
('EA', 4.112551159618008)
('PG', 4.42362313820575)
('DLTR', 4.622784810126582)
('CSX', 4.775754671777671)
('NEM', 5.496890547263682)
('CF', 5.869774919614148)
('MMM', 6.684)
('LUMN', 6.763320043494019)
('PFE', 7.126966848095003)
('KHC', 8.40674318507891)
GM,NVDA,BA,ORCL,ATVI,TSLA,MSFT,CMCSA,WMT,META,AMD,MDT,HPQ,LVS,TWLO,NUE,CCL,PSX,MU,AAPL,NKE,CRM,DOW,DAL,FCX,SHOP,ABBV,PM,AMAT,NFLX,TMUS,UPS,LMT,U,SLB,TDOC,FANG,GILD,OXY,QCOM,DKNG,DIS,EXPE,DHI,PARA,MCD,ACN,CVS,RBLX,HOODCOSTSBUXDXCMTGTNRGFTSQZMWBATXNMAMROEBAYCSCOMOSETSYDVNROKUVZPEPABTFISLUVCNCAMZNIBMVLODISHCVXXOMTJXNEECOINCATMRKLLYKMIEXCGOOGGOOGLUNPHDVFCKOIPAPAHASCOPPYPLHALBMYINTCFEEAPGDLTRCSXNEMCFMMMLUMNPFEKHC
