========================

TOP 50 PUT OI IMBALANCE
('KHC', 8.40674318507891)
('PFE', 7.126966848095003)
('LUMN', 6.763320043494019)
('MMM', 6.684)
('CF', 5.869774919614148)
('NEM', 5.496890547263682)
('CSX', 4.775754671777671)
('DLTR', 4.622784810126582)
('PG', 4.42362313820575)
('EA', 4.112551159618008)
('FE', 3.5594713656387666)
('INTC', 3.4792034796792173)
('BMY', 3.353066666666667)
('HAL', 2.860921843687375)
('PYPL', 2.604481456043956)
('COP', 2.4210357027983274)
('HAS', 2.354964539007092)
('APA', 2.1989860583016476)
('IP', 2.145985401459854)
('KO', 2.123525382449197)
('VFC', 2.0386988222097586)
('HD', 1.9679822795006041)
('UNP', 1.8091465610370905)
('GOOGL', 1.7674221028219788)
('GOOG', 1.6648653189225513)
('EXC', 1.6369863013698631)
('KMI', 1.6334586466165413)
('LLY', 1.6193467336683418)
('MRK', 1.4812166747455162)
('CAT', 1.4803418803418804)
('COIN', 1.4762692862100262)
('NEE', 1.4530087897227857)
('TJX', 1.3920454545454546)
('XOM', 1.3272589217919515)
('CVX', 1.2928603104212861)
('DISH', 1.252204585537919)
('VLO', 1.2466947960618846)
('IBM', 1.1324488419158985)
('AMZN', 1.0947312813660446)
('CNC', 1.0314207650273224)
('LUV', 0.96)
('FIS', 0.957506420733131)
('ABT', 0.9418994413407821)
('PEP', 0.8384693104319273)
('VZ', 0.8075916230366492)
('ROKU', 0.7399271442764102)
('DVN', 0.7301859799713877)
('ETSY', 0.7289111854329245)
('MOS', 0.6855872351556369)
('CSCO', 0.6731932047221423)
('EBAY', 0.6648630368616841)
('MRO', 0.620222728423184)
('MA', 0.546280193236715)
('TXN', 0.540614601683304)
('WBA', 0.5074987905176584)
('ZM', 0.47357440890125174)
('SQ', 0.4459208458351193)
('T', 0.44076958183581494)
('F', 0.4207469227704502)
('NRG', 0.4123573682932751)
('TGT', 0.4020261605539882)
('DXCM', 0.3946830265848671)
('SBUX', 0.3812808654072274)
('COST', 0.3798276412384296)
('HOOD', 0.37831258259720385)
('RBLX', 0.3654710979488867)
('CVS', 0.34678464929340075)
('ACN', 0.34144758195391106)
('MCD', 0.32803650094398995)
('PARA', 0.32527628772700834)
('DHI', 0.3209920920201294)
('EXPE', 0.3168586387434555)
('DIS', 0.31377091835825416)
('DKNG', 0.3091705865798255)
('QCOM', 0.28861819566044916)
('OXY', 0.2884664248920099)
('GILD', 0.2835171966255678)
('FANG', 0.2783808460992188)
('TDOC', 0.2770254762451228)
('SLB', 0.27420388972002563)
('U', 0.2529857022708158)
('LMT', 0.24507227332457293)
('UPS', 0.2428121307601418)
('TMUS', 0.23207619047619046)
('NFLX', 0.2253102789858916)
('AMAT', 0.21061574011145848)
('PM', 0.20461591457113332)
('ABBV', 0.19584245076586435)
('SHOP', 0.18273208021362375)
('FCX', 0.1803750643335049)
('DAL', 0.17950747581354443)
('DOW', 0.17846978067972544)
('CRM', 0.17707357075913777)
('NKE', 0.17034209072185663)
('AAPL', 0.1668755422732093)
('MU', 0.16375264450550786)
('PSX', 0.15924579736483416)
('CCL', 0.13989399799455665)
('NUE', 0.13063524590163936)
('TWLO', 0.1280820566769676)
('LVS', 0.1259181532004197)
('HPQ', 0.11840588065724993)
('MDT', 0.11511578947368421)
('AMD', 0.11430682704544522)
('META', 0.1093837878943908)
('WMT', 0.092350325449507)
('CMCSA', 0.08708246250870824)
('MSFT', 0.06803328452555266)
('TSLA', 0.053807027228080485)
('ATVI', 0.04146105712977565)
('ORCL', 0.03880709701774254)
('BA', 0.03727682950755346)
('NVDA', 0.023667905824039652)
('GM', 0.016970961100877667)
KHC,PFE,LUMN,MMM,CF,NEM,CSX,DLTR,PG,EA,FE,INTC,BMY,HAL,PYPL,COP,HAS,APA,IP,KO,VFC,HD,UNP,GOOGL,GOOG,EXC,KMI,LLY,MRK,CAT,COIN,NEE,TJX,XOM,CVX,DISH,VLO,IBM,AMZN,CNC,LUV,FIS,ABT,PEP,VZ,ROKU,DVN,ETSY,MOS,CSCOEBAYMROMATXNWBAZMSQTFNRGTGTDXCMSBUXCOSTHOODRBLXCVSACNMCDPARADHIEXPEDISDKNGQCOMOXYGILDFANGTDOCSLBULMTUPSTMUSNFLXAMATPMABBVSHOPFCXDALDOWCRMNKEAAPLMUPSXCCLNUETWLOLVSHPQMDTAMDMETAWMTCMCSAMSFTTSLAATVIORCLBANVDAGM

TOP 50 CALL OI IMBALANCE
('GM', 0.016970961100877667)
('NVDA', 0.023667905824039652)
('BA', 0.03727682950755346)
('ORCL', 0.03880709701774254)
('ATVI', 0.04146105712977565)
('TSLA', 0.053807027228080485)
('MSFT', 0.06803328452555266)
('CMCSA', 0.08708246250870824)
('WMT', 0.092350325449507)
('META', 0.1093837878943908)
('AMD', 0.11430682704544522)
('MDT', 0.11511578947368421)
('HPQ', 0.11840588065724993)
('LVS', 0.1259181532004197)
('TWLO', 0.1280820566769676)
('NUE', 0.13063524590163936)
('CCL', 0.13989399799455665)
('PSX', 0.15924579736483416)
('MU', 0.16375264450550786)
('AAPL', 0.1668755422732093)
('NKE', 0.17034209072185663)
('CRM', 0.17707357075913777)
('DOW', 0.17846978067972544)
('DAL', 0.17950747581354443)
('FCX', 0.1803750643335049)
('SHOP', 0.18273208021362375)
('ABBV', 0.19584245076586435)
('PM', 0.20461591457113332)
('AMAT', 0.21061574011145848)
('NFLX', 0.2253102789858916)
('TMUS', 0.23207619047619046)
('UPS', 0.2428121307601418)
('LMT', 0.24507227332457293)
('U', 0.2529857022708158)
